package_name,package_category
com.aware.plugin.cmu.sup,
com.tencent.mm,COMMUNICATION
edu.berkeley.eecs.emission,MAPS_AND_NAVIGATION
com.oneplus.filemanager,
com.facebook.orca,COMMUNICATION
com.niksoftware.snapseed,PHOTOGRAPHY
com.duolingo,EDUCATION
com.kapp.youtube.final,
com.dwb.ss,TOOLS
com.netease.cloudmusic,MUSIC_AND_AUDIO
com.google.android.keep,PRODUCTIVITY
com.intsig.camscanner,PRODUCTIVITY
com.youdao.dict,TOOLS
com.usbank.mobilebanking,FINANCE
com.google.android.apps.translate,TOOLS
net.oneplus.weather,WEATHER
com.yamibuy.yamiapp,LIFESTYLE
com.monefy.app.lite,FINANCE
com.kugou.android,MUSIC_AND_AUDIO
com.bilibili.app.in,VIDEO_PLAYERS
com.microsoft.skydrive,PRODUCTIVITY
com.cmcm.lite,
org.leo.android.dict,BOOKS_AND_REFERENCE
com.wolfram.android.alpha,BOOKS_AND_REFERENCE
com.waze,MAPS_AND_NAVIGATION
com.geektoy.nfcemulator,
com.yuanwofei.cardemulator,
com.joulespersecond.seattlebusbot,MAPS_AND_NAVIGATION
com.microsoft.office.onenote,PRODUCTIVITY
com.baidu.netdisk,
cn.wps.moffice_eng,PRODUCTIVITY
com.github.shadowsocks,COMMUNICATION
com.ea.game.simcitymobile_row,GAME_SIMULATION
me.morirain.dev.iconpack.pure,PERSONALIZATION
cn.kuwo.player,
com.hm.goe,LIFESTYLE
com.baidu.appsearch.clean,
com.facebook.mlite,COMMUNICATION
com.baidu.netdisk.sns,
com.UCMobile.intl,COMMUNICATION
com.sohu.inputmethod.sogou,TOOLS
com.oneplus.soundrecorder,
com.aqeb.loffee,MUSIC_AND_AUDIO
com.kiwibrowser.browser,COMMUNICATION
org.sailor.djddz,GAME_CARD
com.venmo,FINANCE
com.ubercab,MAPS_AND_NAVIGATION
com.fitbit.FitbitMobile,HEALTH_AND_FITNESS
com.ss.android.ugc.aweme,
com.bose.monet,MUSIC_AND_AUDIO
com.xiyun.skyso,TOOLS
com.vpn.kmvpn11,TOOLS
com.fobwifi.transocks,
com.linkcn.lphone,TOOLS
com.google.android.apps.inbox,PRODUCTIVITY
com.github.shadowsocks.plugin.obfs_local,COMMUNICATION
com.baidu.input,TOOLS
com.xunmeng.pinduoduo,
com.pandora.android,MUSIC_AND_AUDIO
com.spotify.music,MUSIC_AND_AUDIO